Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Age,Claim
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19,THAILAND,19.8,11.88,37,0
C2B,Airlines,Online,Annual Silver Plan,367,SINGAPORE,161.0,40.25,42,0
JZI,Airlines,Online,Basic Plan,17,Other_Destination,61.0,21.35,31,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,113,UNITED STATES,59.4,35.64,61,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,17,AUSTRALIA,9.9,5.94,41,0
EPX,Travel Agency,Online,Cancellation Plan,7,UNITED KINGDOM,67.0,0.0,36,0
EPX,Travel Agency,Online,Other_Product,108,SINGAPORE,26.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,MALAYSIA,29.7,17.82,57,0
C2B,Airlines,Online,Silver Plan,64,SINGAPORE,81.0,20.25,71,0
EPX,Travel Agency,Online,Other_Product,110,SINGAPORE,57.0,0.0,36,0
JZI,Airlines,Online,Basic Plan,8,VIET NAM,18.0,6.3,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,34,AUSTRALIA,89.1,53.46,57,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,83,AUSTRALIA,59.4,35.64,26,0
EPX,Travel Agency,Online,Cancellation Plan,59,JAPAN,80.0,0.0,36,0
C2B,Airlines,Online,Annual Silver Plan,379,SINGAPORE,216.0,54.0,30,0
C2B,Airlines,Online,Bronze Plan,28,SINGAPORE,23.5,5.88,50,0
ART,Airlines,Online,Other_Product,2,SINGAPORE,8.7,3.04,48,0
C2B,Airlines,Online,Annual Silver Plan,377,SINGAPORE,201.0,50.25,67,0
C2B,Airlines,Online,Annual Silver Plan,369,SINGAPORE,216.0,54.0,37,0
KML,Travel Agency,Online,Other_Product,9,Other_Destination,75.0,28.5,48,0
C2B,Airlines,Online,Bronze Plan,51,SINGAPORE,72.0,18.0,40,0
C2B,Airlines,Online,Bronze Plan,15,SINGAPORE,23.5,5.88,32,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,32,HONG KONG,22.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,285,SINGAPORE,42.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,17,THAILAND,49.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,16,JAPAN,49.5,29.7,41,0
EPX,Travel Agency,Online,Cancellation Plan,56,JAPAN,29.0,0.0,28,0
C2B,Airlines,Online,Silver Plan,11,SINGAPORE,41.5,10.38,40,0
C2B,Airlines,Online,Bronze Plan,53,SINGAPORE,39.0,9.75,28,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,21,UNITED KINGDOM,58.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,203,JAPAN,90.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,58,SINGAPORE,15.0,0.0,36,0
JZI,Airlines,Online,Basic Plan,6,HONG KONG,26.0,9.1,51,0
EPX,Travel Agency,Online,Cancellation Plan,63,ITALY,80.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,50,CHINA,46.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,51,JAPAN,33.0,0.0,35,0
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,16.0,4.0,49,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,102,Other_Destination,39.6,23.76,38,0
JZI,Airlines,Online,Basic Plan,7,Other_Destination,26.0,9.1,49,0
EPX,Travel Agency,Online,Other_Product,27,Other_Destination,20.0,0.0,28,0
JZI,Airlines,Online,Basic Plan,26,INDONESIA,33.0,11.55,34,0
JZI,Airlines,Online,Basic Plan,25,CHINA,40.0,14.0,27,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,25,SINGAPORE,20.0,0.0,21,0
EPX,Travel Agency,Online,Cancellation Plan,19,MALAYSIA,12.0,0.0,28,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,33,JAPAN,53.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,7,MALAYSIA,12.0,0.0,57,0
JZI,Airlines,Online,Basic Plan,22,MALAYSIA,30.0,10.5,61,0
EPX,Travel Agency,Online,Cancellation Plan,109,JAPAN,30.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,21,INDONESIA,24.0,0.0,37,0
EPX,Travel Agency,Online,Cancellation Plan,16,"TAIWAN, PROVINCE OF CHINA",10.0,0.0,48,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,131,Other_Destination,29.7,17.82,24,0
C2B,Airlines,Online,Silver Plan,3,SINGAPORE,30.0,7.5,34,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,29,ITALY,109.0,0.0,36,0
JZI,Airlines,Online,Basic Plan,10,CHINA,22.0,7.7,56,0
EPX,Travel Agency,Online,Cancellation Plan,38,UNITED STATES,26.0,0.0,57,0
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,16.0,4.0,32,0
EPX,Travel Agency,Online,Cancellation Plan,163,Other_Destination,55.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,27,PHILIPPINES,14.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,31,JAPAN,112.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,10,THAILAND,22.0,0.0,36,0
JZI,Airlines,Online,Basic Plan,9,CHINA,26.0,9.1,39,0
JZI,Airlines,Online,Basic Plan,20,THAILAND,22.0,7.7,59,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,22,Other_Destination,49.5,29.7,50,0
C2B,Airlines,Online,Silver Plan,62,SINGAPORE,84.5,21.13,41,0
SSI,Airlines,Online,Other_Product,76,SINGAPORE,2.19,0.61,48,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,PHILIPPINES,29.7,17.82,51,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,15,VIET NAM,28.0,0.0,58,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,41,THAILAND,20.0,0.0,39,0
EPX,Travel Agency,Online,Other_Product,216,SINGAPORE,20.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,22,MALAYSIA,29.7,17.82,33,0
C2B,Airlines,Online,Bronze Plan,29,SINGAPORE,17.0,4.25,39,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,AUSTRALIA,59.4,35.64,51,0
EPX,Travel Agency,Online,Cancellation Plan,24,THAILAND,14.0,0.0,36,0
C2B,Airlines,Online,Other_Product,41,SINGAPORE,163.8,40.95,40,0
JZI,Airlines,Online,Basic Plan,22,CHINA,26.0,9.1,58,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,21,"KOREA, REPUBLIC OF",46.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,8,JAPAN,13.0,0.0,25,0
C2B,Airlines,Online,Bronze Plan,15,SINGAPORE,33.5,8.38,35,0
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,39.0,9.75,5,0
EPX,Travel Agency,Online,Cancellation Plan,1,CHINA,18.0,0.0,36,0
TST,Travel Agency,Offline,Other_Product,112,MALAYSIA,30.0,10.5,41,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,32,THAILAND,21.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,13,CHINA,80.0,0.0,35,0
EPX,Travel Agency,Online,Cancellation Plan,22,UNITED KINGDOM,23.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,147,THAILAND,23.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,20,SINGAPORE,53.5,13.38,25,0
EPX,Travel Agency,Online,Cancellation Plan,19,SINGAPORE,39.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,18,SINGAPORE,30.55,7.64,74,0
EPX,Travel Agency,Online,Cancellation Plan,7,"KOREA, REPUBLIC OF",27.0,0.0,36,0
